fid,Volcano_Name,Last_Eruption_Year,Country,Elevation
"565",Esmeralda Bank,,United States,"-74"
"566",Forecast Seamount,,United States,"-1456"
"567",Seamount X,,United States,"-1230"
"568",Esan,"1874",Japan,"618"
"569",Oshima-Oshima,"1790",Japan,"732"
"570",Hokkaido-Komagatake,"2000",Japan,"1131"
"571",Niseko,"-4900",Japan,"1308"
"572",Yoteizan,"-1050",Japan,"1888"
"573",Kuttara,"1820",Japan,"549"
"574",Toya,"2001",Japan,"733"
"575",Rishirizan,"-5830",Japan,"1721"
"576",Shikotsu,"1981",Japan,"1320"
"577",Tokachidake,"2004",Japan,"2077"
"578",Maruyama,"1898",Japan,"2013"
"579",Taisetsuzan,"1739",Japan,"2291"
"580",Akan,"2008",Japan,"1499"
"581",Mashu,"1080",Japan,"857"
"582",Rausudake,"1800",Japan,"1660"
"583",Kussharo,"1320",Japan,"574"
"584",Shiretoko-Iozan,"1936",Japan,"1562"
"585",Tomariyama [Golovnin],"1848",Japan - administered by Russia,"535"
